,Well,Fluor,Target,Content,Sample,Biological Set Name,Cq,Cq Mean,Cq Std. Dev,Starting Quantity (SQ),Log Starting Quantity,SQ Mean,SQ Std. Dev,Set Point,Well Note
,B02,SYBR,,Unkn,,,32.29,32.29,0.000,,,,0.00000,60.0,
,B03,SYBR,,Unkn,,,30.83,30.83,0.000,,,,0.00000,60.0,
,B04,SYBR,,Unkn,,,30.30,30.30,0.000,,,,0.00000,60.0,
,B05,SYBR,,Unkn,,,37.39,37.39,0.000,,,,0.00000,60.0,
,B06,SYBR,,Unkn,,,38.07,38.07,0.000,,,,0.00000,60.0,
,B07,SYBR,,Unkn,,,35.62,35.62,0.000,,,,0.00000,60.0,
,B08,SYBR,,Unkn,,,36.22,36.22,0.000,,,,0.00000,60.0,
,B09,SYBR,,Unkn,,,29.56,29.56,0.000,,,,0.00000,60.0,
,B10,SYBR,,Unkn,,,29.45,29.45,0.000,,,,0.00000,60.0,
,B11,SYBR,,Unkn,,,,0.00,0.000,,,0.00000,0.00000,60.0,
,B12,SYBR,,Unkn,,,,0.00,0.000,,,0.00000,0.00000,60.0,
,B13,SYBR,,Unkn,,,,0.00,0.000,,,0.00000,0.00000,60.0,
,B14,SYBR,,Unkn,,,,0.00,0.000,,,0.00000,0.00000,60.0,
,B15,SYBR,,Unkn,,,,0.00,0.000,,,0.00000,0.00000,60.0,
,B16,SYBR,,Unkn,,,,0.00,0.000,,,0.00000,0.00000,60.0,
,B17,SYBR,,Unkn,,,,0.00,0.000,,,0.00000,0.00000,60.0,
,B18,SYBR,,Unkn,,,,0.00,0.000,,,0.00000,0.00000,60.0,
,B19,SYBR,,Unkn,,,,0.00,0.000,,,0.00000,0.00000,60.0,
,B20,SYBR,,Unkn,,,,0.00,0.000,,,0.00000,0.00000,60.0,
,B21,SYBR,,Unkn,,,,0.00,0.000,,,0.00000,0.00000,60.0,
,B22,SYBR,,Unkn,,,,0.00,0.000,,,0.00000,0.00000,60.0,
,B23,SYBR,,Unkn,,,,0.00,0.000,,,0.00000,0.00000,60.0,
,B24,SYBR,,Unkn,,,,0.00,0.000,,,0.00000,0.00000,60.0,
,C01,SYBR,,Unkn,,,31.65,31.65,0.000,,,,0.00000,60.0,
,C02,SYBR,,Unkn,,,31.86,31.86,0.000,,,,0.00000,60.0,
,C03,SYBR,,Unkn,,,29.03,29.03,0.000,,,,0.00000,60.0,
,C04,SYBR,,Unkn,,,28.50,28.50,0.000,,,,0.00000,60.0,
,C05,SYBR,,Unkn,,,37.03,37.03,0.000,,,,0.00000,60.0,
,C06,SYBR,,Unkn,,,38.26,38.26,0.000,,,,0.00000,60.0,
,C07,SYBR,,Unkn,,,37.13,37.13,0.000,,,,0.00000,60.0,
,C08,SYBR,,Unkn,,,36.27,36.27,0.000,,,,0.00000,60.0,
,C09,SYBR,,Unkn,,,27.73,27.73,0.000,,,,0.00000,60.0,
,C10,SYBR,,Unkn,,,28.01,28.01,0.000,,,,0.00000,60.0,
,C11,SYBR,,Unkn,,,,0.00,0.000,,,0.00000,0.00000,60.0,
,C12,SYBR,,Unkn,,,,0.00,0.000,,,0.00000,0.00000,60.0,
,C13,SYBR,,Unkn,,,,0.00,0.000,,,0.00000,0.00000,60.0,
,C14,SYBR,,Unkn,,,,0.00,0.000,,,0.00000,0.00000,60.0,
,C15,SYBR,,Unkn,,,,0.00,0.000,,,0.00000,0.00000,60.0,
,C16,SYBR,,Unkn,,,,0.00,0.000,,,0.00000,0.00000,60.0,
,C17,SYBR,,Unkn,,,,0.00,0.000,,,0.00000,0.00000,60.0,
,C18,SYBR,,Unkn,,,,0.00,0.000,,,0.00000,0.00000,60.0,
,C19,SYBR,,Unkn,,,,0.00,0.000,,,0.00000,0.00000,60.0,
,C20,SYBR,,Unkn,,,,0.00,0.000,,,0.00000,0.00000,60.0,
,C21,SYBR,,Unkn,,,,0.00,0.000,,,0.00000,0.00000,60.0,
,C22,SYBR,,Unkn,,,,0.00,0.000,,,0.00000,0.00000,60.0,
,C23,SYBR,,Unkn,,,,0.00,0.000,,,0.00000,0.00000,60.0,
,C24,SYBR,,Unkn,,,,0.00,0.000,,,0.00000,0.00000,60.0,
,D01,SYBR,,Unkn,,,35.01,35.01,0.000,,,,0.00000,60.0,
,D02,SYBR,,Unkn,,,35.28,35.28,0.000,,,,0.00000,60.0,
,D03,SYBR,,Unkn,,,32.22,32.22,0.000,,,,0.00000,60.0,
,D04,SYBR,,Unkn,,,32.05,32.05,0.000,,,,0.00000,60.0,
,D05,SYBR,,Unkn,,,43.08,43.08,0.000,,,,0.00000,60.0,
,D06,SYBR,,Unkn,,,,0.00,0.000,,,0.00000,0.00000,60.0,
,D07,SYBR,,Unkn,,,39.15,39.15,0.000,,,,0.00000,60.0,
,D08,SYBR,,Unkn,,,39.99,39.99,0.000,,,,0.00000,60.0,
,D09,SYBR,,Unkn,,,33.55,33.55,0.000,,,,0.00000,60.0,
,D10,SYBR,,Unkn,,,34.04,34.04,0.000,,,,0.00000,60.0,
,D11,SYBR,,Unkn,,,,0.00,0.000,,,0.00000,0.00000,60.0,
,D12,SYBR,,Unkn,,,,0.00,0.000,,,0.00000,0.00000,60.0,
,D13,SYBR,,Unkn,,,,0.00,0.000,,,0.00000,0.00000,60.0,
,D14,SYBR,,Unkn,,,,0.00,0.000,,,0.00000,0.00000,60.0,
,D15,SYBR,,Unkn,,,,0.00,0.000,,,0.00000,0.00000,60.0,
,D16,SYBR,,Unkn,,,,0.00,0.000,,,0.00000,0.00000,60.0,
,D17,SYBR,,Unkn,,,,0.00,0.000,,,0.00000,0.00000,60.0,
,D18,SYBR,,Unkn,,,,0.00,0.000,,,0.00000,0.00000,60.0,
,D19,SYBR,,Unkn,,,,0.00,0.000,,,0.00000,0.00000,60.0,
,D20,SYBR,,Unkn,,,,0.00,0.000,,,0.00000,0.00000,60.0,
,D21,SYBR,,Unkn,,,,0.00,0.000,,,0.00000,0.00000,60.0,
,D22,SYBR,,Unkn,,,,0.00,0.000,,,0.00000,0.00000,60.0,
,D23,SYBR,,Unkn,,,,0.00,0.000,,,0.00000,0.00000,60.0,
,D24,SYBR,,Unkn,,,,0.00,0.000,,,0.00000,0.00000,60.0,
,E01,SYBR,,Unkn,,,22.17,22.17,0.000,,,,0.00000,60.0,
,E02,SYBR,,Unkn,,,21.92,21.92,0.000,,,,0.00000,60.0,
,E03,SYBR,,Unkn,,,22.82,22.82,0.000,,,,0.00000,60.0,
,E04,SYBR,,Unkn,,,22.75,22.75,0.000,,,,0.00000,60.0,
,E05,SYBR,,Unkn,,,33.04,33.04,0.000,,,,0.00000,60.0,
,E06,SYBR,,Unkn,,,32.81,32.81,0.000,,,,0.00000,60.0,
,E07,SYBR,,Unkn,,,29.11,29.11,0.000,,,,0.00000,60.0,
,E08,SYBR,,Unkn,,,29.41,29.41,0.000,,,,0.00000,60.0,
,E09,SYBR,,Unkn,,,21.57,21.57,0.000,,,,0.00000,60.0,
,E10,SYBR,,Unkn,,,21.75,21.75,0.000,,,,0.00000,60.0,
,E11,SYBR,,Unkn,,,,0.00,0.000,,,0.00000,0.00000,60.0,
,E12,SYBR,,Unkn,,,,0.00,0.000,,,0.00000,0.00000,60.0,
,E13,SYBR,,Unkn,,,,0.00,0.000,,,0.00000,0.00000,60.0,
,E14,SYBR,,Unkn,,,,0.00,0.000,,,0.00000,0.00000,60.0,
,E15,SYBR,,Unkn,,,,0.00,0.000,,,0.00000,0.00000,60.0,
,E16,SYBR,,Unkn,,,,0.00,0.000,,,0.00000,0.00000,60.0,
,E17,SYBR,,Unkn,,,,0.00,0.000,,,0.00000,0.00000,60.0,
,E18,SYBR,,Unkn,,,,0.00,0.000,,,0.00000,0.00000,60.0,
,E19,SYBR,,Unkn,,,,0.00,0.000,,,0.00000,0.00000,60.0,
,E20,SYBR,,Unkn,,,,0.00,0.000,,,0.00000,0.00000,60.0,
,E21,SYBR,,Unkn,,,,0.00,0.000,,,0.00000,0.00000,60.0,
,E22,SYBR,,Unkn,,,,0.00,0.000,,,0.00000,0.00000,60.0,
,E23,SYBR,,Unkn,,,,0.00,0.000,,,0.00000,0.00000,60.0,
,E24,SYBR,,Unkn,,,,0.00,0.000,,,0.00000,0.00000,60.0,
,F01,SYBR,,Unkn,,,31.03,31.03,0.000,,,,0.00000,60.0,
,F02,SYBR,,Unkn,,,31.20,31.20,0.000,,,,0.00000,60.0,
,F03,SYBR,,Unkn,,,30.72,30.72,0.000,,,,0.00000,60.0,
,F04,SYBR,,Unkn,,,30.09,30.09,0.000,,,,0.00000,60.0,
,F05,SYBR,,Unkn,,,37.98,37.98,0.000,,,,0.00000,60.0,
,F06,SYBR,,Unkn,,,39.22,39.22,0.000,,,,0.00000,60.0,
,F07,SYBR,,Unkn,,,37.75,37.75,0.000,,,,0.00000,60.0,
,F08,SYBR,,Unkn,,,37.13,37.13,0.000,,,,0.00000,60.0,
,F09,SYBR,,Unkn,,,28.65,28.65,0.000,,,,0.00000,60.0,
,F10,SYBR,,Unkn,,,28.36,28.36,0.000,,,,0.00000,60.0,
,F11,SYBR,,Unkn,,,,0.00,0.000,,,0.00000,0.00000,60.0,
,F12,SYBR,,Unkn,,,,0.00,0.000,,,0.00000,0.00000,60.0,
,F13,SYBR,,Unkn,,,,0.00,0.000,,,0.00000,0.00000,60.0,
,F14,SYBR,,Unkn,,,,0.00,0.000,,,0.00000,0.00000,60.0,
,F15,SYBR,,Unkn,,,,0.00,0.000,,,0.00000,0.00000,60.0,
,F16,SYBR,,Unkn,,,,0.00,0.000,,,0.00000,0.00000,60.0,
,F17,SYBR,,Unkn,,,,0.00,0.000,,,0.00000,0.00000,60.0,
,F18,SYBR,,Unkn,,,,0.00,0.000,,,0.00000,0.00000,60.0,
,F19,SYBR,,Unkn,,,,0.00,0.000,,,0.00000,0.00000,60.0,
,F20,SYBR,,Unkn,,,,0.00,0.000,,,0.00000,0.00000,60.0,
,F21,SYBR,,Unkn,,,,0.00,0.000,,,0.00000,0.00000,60.0,
,F22,SYBR,,Unkn,,,,0.00,0.000,,,0.00000,0.00000,60.0,
,F23,SYBR,,Unkn,,,,0.00,0.000,,,0.00000,0.00000,60.0,
,F24,SYBR,,Unkn,,,,0.00,0.000,,,0.00000,0.00000,60.0,
,G01,SYBR,,Unkn,,,33.70,33.70,0.000,,,,0.00000,60.0,
,G02,SYBR,,Unkn,,,34.42,34.42,0.000,,,,0.00000,60.0,
,G03,SYBR,,Unkn,,,32.25,32.25,0.000,,,,0.00000,60.0,
,G04,SYBR,,Unkn,,,32.49,32.49,0.000,,,,0.00000,60.0,
,G05,SYBR,,Unkn,,,37.89,37.89,0.000,,,,0.00000,60.0,
,G06,SYBR,,Unkn,,,38.48,38.48,0.000,,,,0.00000,60.0,
,G07,SYBR,,Unkn,,,37.88,37.88,0.000,,,,0.00000,60.0,
,G08,SYBR,,Unkn,,,38.11,38.11,0.000,,,,0.00000,60.0,
,G09,SYBR,,Unkn,,,29.77,29.77,0.000,,,,0.00000,60.0,
,G10,SYBR,,Unkn,,,29.80,29.80,0.000,,,,0.00000,60.0,
,G11,SYBR,,Unkn,,,,0.00,0.000,,,0.00000,0.00000,60.0,
,G12,SYBR,,Unkn,,,,0.00,0.000,,,0.00000,0.00000,60.0,
,G13,SYBR,,Unkn,,,,0.00,0.000,,,0.00000,0.00000,60.0,
,G14,SYBR,,Unkn,,,,0.00,0.000,,,0.00000,0.00000,60.0,
,G15,SYBR,,Unkn,,,,0.00,0.000,,,0.00000,0.00000,60.0,
,G16,SYBR,,Unkn,,,,0.00,0.000,,,0.00000,0.00000,60.0,
,G17,SYBR,,Unkn,,,,0.00,0.000,,,0.00000,0.00000,60.0,
,G18,SYBR,,Unkn,,,,0.00,0.000,,,0.00000,0.00000,60.0,
,G19,SYBR,,Unkn,,,,0.00,0.000,,,0.00000,0.00000,60.0,
,G20,SYBR,,Unkn,,,,0.00,0.000,,,0.00000,0.00000,60.0,
,G21,SYBR,,Unkn,,,,0.00,0.000,,,0.00000,0.00000,60.0,
,G22,SYBR,,Unkn,,,,0.00,0.000,,,0.00000,0.00000,60.0,
,G23,SYBR,,Unkn,,,,0.00,0.000,,,0.00000,0.00000,60.0,
,G24,SYBR,,Unkn,,,,0.00,0.000,,,0.00000,0.00000,60.0,
,H01,SYBR,,Unkn,,,24.91,24.91,0.000,,,,0.00000,60.0,
,H02,SYBR,,Unkn,,,25.93,25.93,0.000,,,,0.00000,60.0,
,H03,SYBR,,Unkn,,,26.72,26.72,0.000,,,,0.00000,60.0,
,H04,SYBR,,Unkn,,,27.12,27.12,0.000,,,,0.00000,60.0,
,H05,SYBR,,Unkn,,,35.20,35.20,0.000,,,,0.00000,60.0,
,H06,SYBR,,Unkn,,,35.13,35.13,0.000,,,,0.00000,60.0,
,H07,SYBR,,Unkn,,,32.22,32.22,0.000,,,,0.00000,60.0,
,H08,SYBR,,Unkn,,,31.84,31.84,0.000,,,,0.00000,60.0,
,H09,SYBR,,Unkn,,,24.27,24.27,0.000,,,,0.00000,60.0,
,H10,SYBR,,Unkn,,,24.59,24.59,0.000,,,,0.00000,60.0,
,H11,SYBR,,Unkn,,,,0.00,0.000,,,0.00000,0.00000,60.0,
,H12,SYBR,,Unkn,,,,0.00,0.000,,,0.00000,0.00000,60.0,
,H13,SYBR,,Unkn,,,,0.00,0.000,,,0.00000,0.00000,60.0,
,H14,SYBR,,Unkn,,,,0.00,0.000,,,0.00000,0.00000,60.0,
,H15,SYBR,,Unkn,,,,0.00,0.000,,,0.00000,0.00000,60.0,
,H16,SYBR,,Unkn,,,,0.00,0.000,,,0.00000,0.00000,60.0,
,H17,SYBR,,Unkn,,,,0.00,0.000,,,0.00000,0.00000,60.0,
,H18,SYBR,,Unkn,,,,0.00,0.000,,,0.00000,0.00000,60.0,
,H19,SYBR,,Unkn,,,,0.00,0.000,,,0.00000,0.00000,60.0,
,H20,SYBR,,Unkn,,,,0.00,0.000,,,0.00000,0.00000,60.0,
,H21,SYBR,,Unkn,,,,0.00,0.000,,,0.00000,0.00000,60.0,
,H22,SYBR,,Unkn,,,,0.00,0.000,,,0.00000,0.00000,60.0,
,H23,SYBR,,Unkn,,,,0.00,0.000,,,0.00000,0.00000,60.0,
,H24,SYBR,,Unkn,,,,0.00,0.000,,,0.00000,0.00000,60.0,
,I01,SYBR,,Unkn,,,30.37,30.37,0.000,,,,0.00000,60.0,
,I02,SYBR,,Unkn,,,31.11,31.11,0.000,,,,0.00000,60.0,
,I03,SYBR,,Unkn,,,31.08,31.08,0.000,,,,0.00000,60.0,
,I04,SYBR,,Unkn,,,31.06,31.06,0.000,,,,0.00000,60.0,
,I05,SYBR,,Unkn,,,40.53,40.53,0.000,,,,0.00000,60.0,
,I06,SYBR,,Unkn,,,38.39,38.39,0.000,,,,0.00000,60.0,
,I07,SYBR,,Unkn,,,36.95,36.95,0.000,,,,0.00000,60.0,
,I08,SYBR,,Unkn,,,37.19,37.19,0.000,,,,0.00000,60.0,
,I09,SYBR,,Unkn,,,30.51,30.51,0.000,,,,0.00000,60.0,
,I10,SYBR,,Unkn,,,31.13,31.13,0.000,,,,0.00000,60.0,
,I11,SYBR,,Unkn,,,,0.00,0.000,,,0.00000,0.00000,60.0,
,I12,SYBR,,Unkn,,,,0.00,0.000,,,0.00000,0.00000,60.0,
,I13,SYBR,,Unkn,,,,0.00,0.000,,,0.00000,0.00000,60.0,
,I14,SYBR,,Unkn,,,,0.00,0.000,,,0.00000,0.00000,60.0,
,I15,SYBR,,Unkn,,,,0.00,0.000,,,0.00000,0.00000,60.0,
,I16,SYBR,,Unkn,,,,0.00,0.000,,,0.00000,0.00000,60.0,
,I17,SYBR,,Unkn,,,,0.00,0.000,,,0.00000,0.00000,60.0,
,I18,SYBR,,Unkn,,,,0.00,0.000,,,0.00000,0.00000,60.0,
,I19,SYBR,,Unkn,,,,0.00,0.000,,,0.00000,0.00000,60.0,
,I20,SYBR,,Unkn,,,,0.00,0.000,,,0.00000,0.00000,60.0,
,I21,SYBR,,Unkn,,,,0.00,0.000,,,0.00000,0.00000,60.0,
,I22,SYBR,,Unkn,,,,0.00,0.000,,,0.00000,0.00000,60.0,
,I23,SYBR,,Unkn,,,,0.00,0.000,,,0.00000,0.00000,60.0,
,I24,SYBR,,Unkn,,,,0.00,0.000,,,0.00000,0.00000,60.0,
,J01,SYBR,,Unkn,,,32.98,32.98,0.000,,,,0.00000,60.0,
,J02,SYBR,,Unkn,,,33.56,33.56,0.000,,,,0.00000,60.0,
,J03,SYBR,,Unkn,,,32.91,32.91,0.000,,,,0.00000,60.0,
,J04,SYBR,,Unkn,,,32.18,32.18,0.000,,,,0.00000,60.0,
,J05,SYBR,,Unkn,,,44.77,44.77,0.000,,,,0.00000,60.0,
,J06,SYBR,,Unkn,,,38.62,38.62,0.000,,,,0.00000,60.0,
,J07,SYBR,,Unkn,,,40.67,40.67,0.000,,,,0.00000,60.0,
,J08,SYBR,,Unkn,,,38.62,38.62,0.000,,,,0.00000,60.0,
,J09,SYBR,,Unkn,,,31.00,31.00,0.000,,,,0.00000,60.0,
,J10,SYBR,,Unkn,,,31.56,31.56,0.000,,,,0.00000,60.0,
,J11,SYBR,,Unkn,,,,0.00,0.000,,,0.00000,0.00000,60.0,
,J12,SYBR,,Unkn,,,,0.00,0.000,,,0.00000,0.00000,60.0,
,J13,SYBR,,Unkn,,,,0.00,0.000,,,0.00000,0.00000,60.0,
,J14,SYBR,,Unkn,,,,0.00,0.000,,,0.00000,0.00000,60.0,
,J15,SYBR,,Unkn,,,,0.00,0.000,,,0.00000,0.00000,60.0,
,J16,SYBR,,Unkn,,,,0.00,0.000,,,0.00000,0.00000,60.0,
,J17,SYBR,,Unkn,,,,0.00,0.000,,,0.00000,0.00000,60.0,
,J18,SYBR,,Unkn,,,,0.00,0.000,,,0.00000,0.00000,60.0,
,J19,SYBR,,Unkn,,,,0.00,0.000,,,0.00000,0.00000,60.0,
,J20,SYBR,,Unkn,,,,0.00,0.000,,,0.00000,0.00000,60.0,
,J21,SYBR,,Unkn,,,,0.00,0.000,,,0.00000,0.00000,60.0,
,J22,SYBR,,Unkn,,,,0.00,0.000,,,0.00000,0.00000,60.0,
,J23,SYBR,,Unkn,,,,0.00,0.000,,,0.00000,0.00000,60.0,
,J24,SYBR,,Unkn,,,,0.00,0.000,,,0.00000,0.00000,60.0,
,K01,SYBR,,Unkn,,,34.36,34.36,0.000,,,,0.00000,60.0,
,K02,SYBR,,Unkn,,,35.40,35.40,0.000,,,,0.00000,60.0,
,K03,SYBR,,Unkn,,,33.95,33.95,0.000,,,,0.00000,60.0,
,K04,SYBR,,Unkn,,,33.63,33.63,0.000,,,,0.00000,60.0,
,K05,SYBR,,Unkn,,,43.11,43.11,0.000,,,,0.00000,60.0,
,K06,SYBR,,Unkn,,,41.31,41.31,0.000,,,,0.00000,60.0,
,K07,SYBR,,Unkn,,,39.93,39.93,0.000,,,,0.00000,60.0,
,K08,SYBR,,Unkn,,,39.83,39.83,0.000,,,,0.00000,60.0,
,K09,SYBR,,Unkn,,,31.06,31.06,0.000,,,,0.00000,60.0,
,K10,SYBR,,Unkn,,,31.11,31.11,0.000,,,,0.00000,60.0,
,K11,SYBR,,Unkn,,,,0.00,0.000,,,0.00000,0.00000,60.0,
,K12,SYBR,,Unkn,,,,0.00,0.000,,,0.00000,0.00000,60.0,
,K13,SYBR,,Unkn,,,,0.00,0.000,,,0.00000,0.00000,60.0,
,K14,SYBR,,Unkn,,,,0.00,0.000,,,0.00000,0.00000,60.0,
,K15,SYBR,,Unkn,,,,0.00,0.000,,,0.00000,0.00000,60.0,
,K16,SYBR,,Unkn,,,,0.00,0.000,,,0.00000,0.00000,60.0,
,K17,SYBR,,Unkn,,,,0.00,0.000,,,0.00000,0.00000,60.0,
,K18,SYBR,,Unkn,,,,0.00,0.000,,,0.00000,0.00000,60.0,
,K19,SYBR,,Unkn,,,,0.00,0.000,,,0.00000,0.00000,60.0,
,K20,SYBR,,Unkn,,,,0.00,0.000,,,0.00000,0.00000,60.0,
,K21,SYBR,,Unkn,,,,0.00,0.000,,,0.00000,0.00000,60.0,
,K22,SYBR,,Unkn,,,,0.00,0.000,,,0.00000,0.00000,60.0,
,K23,SYBR,,Unkn,,,,0.00,0.000,,,0.00000,0.00000,60.0,
,K24,SYBR,,Unkn,,,,0.00,0.000,,,0.00000,0.00000,60.0,
,L01,SYBR,,Unkn,,,32.06,32.06,0.000,,,,0.00000,60.0,
,L02,SYBR,,Unkn,,,32.26,32.26,0.000,,,,0.00000,60.0,
,L03,SYBR,,Unkn,,,31.78,31.78,0.000,,,,0.00000,60.0,
,L04,SYBR,,Unkn,,,31.68,31.68,0.000,,,,0.00000,60.0,
,L05,SYBR,,Unkn,,,,0.00,0.000,,,0.00000,0.00000,60.0,
,L06,SYBR,,Unkn,,,39.48,39.48,0.000,,,,0.00000,60.0,
,L07,SYBR,,Unkn,,,39.18,39.18,0.000,,,,0.00000,60.0,
,L08,SYBR,,Unkn,,,39.06,39.06,0.000,,,,0.00000,60.0,
,L09,SYBR,,Unkn,,,31.73,31.73,0.000,,,,0.00000,60.0,
,L10,SYBR,,Unkn,,,32.43,32.43,0.000,,,,0.00000,60.0,
,L11,SYBR,,Unkn,,,,0.00,0.000,,,0.00000,0.00000,60.0,
,L12,SYBR,,Unkn,,,,0.00,0.000,,,0.00000,0.00000,60.0,
,L13,SYBR,,Unkn,,,,0.00,0.000,,,0.00000,0.00000,60.0,
,L14,SYBR,,Unkn,,,,0.00,0.000,,,0.00000,0.00000,60.0,
,L15,SYBR,,Unkn,,,,0.00,0.000,,,0.00000,0.00000,60.0,
,L16,SYBR,,Unkn,,,,0.00,0.000,,,0.00000,0.00000,60.0,
,L17,SYBR,,Unkn,,,,0.00,0.000,,,0.00000,0.00000,60.0,
,L18,SYBR,,Unkn,,,,0.00,0.000,,,0.00000,0.00000,60.0,
,L19,SYBR,,Unkn,,,,0.00,0.000,,,0.00000,0.00000,60.0,
,L20,SYBR,,Unkn,,,,0.00,0.000,,,0.00000,0.00000,60.0,
,L21,SYBR,,Unkn,,,,0.00,0.000,,,0.00000,0.00000,60.0,
,L22,SYBR,,Unkn,,,,0.00,0.000,,,0.00000,0.00000,60.0,
,L23,SYBR,,Unkn,,,,0.00,0.000,,,0.00000,0.00000,60.0,
,L24,SYBR,,Unkn,,,,0.00,0.000,,,0.00000,0.00000,60.0,
,M01,SYBR,,Unkn,,,,0.00,0.000,,,0.00000,0.00000,60.0,
,M02,SYBR,,Unkn,,,,0.00,0.000,,,0.00000,0.00000,60.0,
,M03,SYBR,,Unkn,,,,0.00,0.000,,,0.00000,0.00000,60.0,
,M04,SYBR,,Unkn,,,,0.00,0.000,,,0.00000,0.00000,60.0,
,M05,SYBR,,Unkn,,,,0.00,0.000,,,0.00000,0.00000,60.0,
,M06,SYBR,,Unkn,,,,0.00,0.000,,,0.00000,0.00000,60.0,
,M07,SYBR,,Unkn,,,,0.00,0.000,,,0.00000,0.00000,60.0,
,M08,SYBR,,Unkn,,,,0.00,0.000,,,0.00000,0.00000,60.0,
,M09,SYBR,,Unkn,,,,0.00,0.000,,,0.00000,0.00000,60.0,
,M10,SYBR,,Unkn,,,,0.00,0.000,,,0.00000,0.00000,60.0,
,M11,SYBR,,Unkn,,,,0.00,0.000,,,0.00000,0.00000,60.0,
,M12,SYBR,,Unkn,,,,0.00,0.000,,,0.00000,0.00000,60.0,
,M13,SYBR,,Unkn,,,,0.00,0.000,,,0.00000,0.00000,60.0,
,M14,SYBR,,Unkn,,,,0.00,0.000,,,0.00000,0.00000,60.0,
,M15,SYBR,,Unkn,,,,0.00,0.000,,,0.00000,0.00000,60.0,
,M16,SYBR,,Unkn,,,,0.00,0.000,,,0.00000,0.00000,60.0,
,M17,SYBR,,Unkn,,,,0.00,0.000,,,0.00000,0.00000,60.0,
,M18,SYBR,,Unkn,,,,0.00,0.000,,,0.00000,0.00000,60.0,
,M19,SYBR,,Unkn,,,,0.00,0.000,,,0.00000,0.00000,60.0,
,M20,SYBR,,Unkn,,,,0.00,0.000,,,0.00000,0.00000,60.0,
,M21,SYBR,,Unkn,,,,0.00,0.000,,,0.00000,0.00000,60.0,
,M22,SYBR,,Unkn,,,,0.00,0.000,,,0.00000,0.00000,60.0,
,M23,SYBR,,Unkn,,,,0.00,0.000,,,0.00000,0.00000,60.0,
,M24,SYBR,,Unkn,,,,0.00,0.000,,,0.00000,0.00000,60.0,
,N01,SYBR,,Unkn,,,,0.00,0.000,,,0.00000,0.00000,60.0,
,N02,SYBR,,Unkn,,,,0.00,0.000,,,0.00000,0.00000,60.0,
,N03,SYBR,,Unkn,,,,0.00,0.000,,,0.00000,0.00000,60.0,
,N04,SYBR,,Unkn,,,,0.00,0.000,,,0.00000,0.00000,60.0,
,N05,SYBR,,Unkn,,,,0.00,0.000,,,0.00000,0.00000,60.0,
,N06,SYBR,,Unkn,,,,0.00,0.000,,,0.00000,0.00000,60.0,
,N07,SYBR,,Unkn,,,,0.00,0.000,,,0.00000,0.00000,60.0,
,N08,SYBR,,Unkn,,,,0.00,0.000,,,0.00000,0.00000,60.0,
,N09,SYBR,,Unkn,,,,0.00,0.000,,,0.00000,0.00000,60.0,
,N10,SYBR,,Unkn,,,,0.00,0.000,,,0.00000,0.00000,60.0,
,N11,SYBR,,Unkn,,,,0.00,0.000,,,0.00000,0.00000,60.0,
